id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2022,https://arena.nafc.org.au/resource/api/ext/aircraft/2022,HELICOPTER,BELL HELICOPTER TEXTRON,206B,RotType3,RW - Type 3 Light,HTM-(JR),ZK-HTM,434,Mid West Helicopters
2768,https://arena.nafc.org.au/resource/api/ext/aircraft/2768,HELICOPTER,BELL HELICOPTER TEXTRON,206B,RotType3,RW - Type 3 Light,HTO-(JR),ZK-HTO,593,Glencree Helicopters Ltd
2373,https://arena.nafc.org.au/resource/api/ext/aircraft/2373,HELICOPTER,HUGHES HELICOPTERS,369E,RotType3,RW - Type 3 Light,HTT-(500),ZK-HTT,551,Central Heliwork Limited
2026,https://arena.nafc.org.au/resource/api/ext/aircraft/2026,HELICOPTER,EUROCOPTER,EC120B,RotType3,RW - Type 3 Light,HTV-(EC120),ZK-HTV,435,Christchurch Helicopters
2735,https://arena.nafc.org.au/resource/api/ext/aircraft/2735,HELICOPTER,BELL HELICOPTER CO,206B,RotType3,RW - Type 3 Light,HTX-(JR),ZK-HTX,574,Eastern Airwork Ltd
2562,https://arena.nafc.org.au/resource/api/ext/aircraft/2562,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HUC-(B2),ZK-HUC,559,Fiordland Helicopters Ltd
2064,https://arena.nafc.org.au/resource/api/ext/aircraft/2064,HELICOPTER,BELL HELICOPTER CO,UH-1H,RotType2,RW - Type 2 Medium,HUE-(UH-1),ZK-HUE,447,Southern Heli Lift
2025,https://arena.nafc.org.au/resource/api/ext/aircraft/2025,HELICOPTER,EUROCOPTER,AS.355F2,RotType3,RW - Type 3 Light,HUQ-(355),ZK-HUQ,435,Christchurch Helicopters
2102,https://arena.nafc.org.au/resource/api/ext/aircraft/2102,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HUZ-(500),ZK-HUZ,460,Eastland Heliservices Limited
2561,https://arena.nafc.org.au/resource/api/ext/aircraft/2561,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,HVA-(B3),ZK-HVA,559,Fiordland Helicopters Ltd
2229,https://arena.nafc.org.au/resource/api/ext/aircraft/2229,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N,RotType3,RW - Type 3 Light,HVH-(600N),ZK-HVH,501,Southland Helicopters Limited
2857,https://arena.nafc.org.au/resource/api/ext/aircraft/2857,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N,RotType3,RW - Type 3 Light,HVI-(600N),ZK-HVI,501,Southland Helicopters Limited
