id,entityID,url,jurisdiction,name,note,lat,long,locality,managingOrganisation,contactName,contactNumber,classification,status,lastReview,adviceToPilots,hasAirfield,hasHelipad,basePhoneNumber
-205,40047,https://arena.nafc.org.au/register/api/locations/-205,NSW,FORBES AERODROME,null,-33.3595,147.9222,null,null,null,null,null,Unknown,null,null,null,null,null
-204,40046,https://arena.nafc.org.au/register/api/locations/-204,NSW,FORBES,null,-33.3870,148.0033,null,null,null,null,null,Unknown,null,null,null,null,null
-203,40045,https://arena.nafc.org.au/register/api/locations/-203,NSW,FOGGY DELL,null,-30.2333,149.0667,null,null,null,null,null,Unknown,null,null,null,null,null
-202,40044,https://arena.nafc.org.au/register/api/locations/-202,NSW,Fitzroy Falls Reservoir,null,-34.6538,150.4868,null,null,null,null,null,Unknown,null,null,null,null,null
-201,39983,https://arena.nafc.org.au/register/api/locations/-201,NSW,FITZROY FALLS,null,-34.6338,150.4685,null,null,null,null,null,Unknown,null,null,null,null,null
-200,40043,https://arena.nafc.org.au/register/api/locations/-200,NSW,FIRELINE,null,-33.9107,148.9577,null,null,null,null,null,Unknown,null,null,null,null,null
-199,40042,https://arena.nafc.org.au/register/api/locations/-199,NSW,FIRE AT CHARLOTTES PASS,null,-36.4203,148.6160,null,null,null,null,null,Unknown,null,null,null,null,null
-198,40041,https://arena.nafc.org.au/register/api/locations/-198,NSW,FINGAL BAY,null,-32.7205,152.1705,null,null,null,null,null,Unknown,null,null,null,null,null
-197,40029,https://arena.nafc.org.au/register/api/locations/-197,NSW,Fiddens Wharf Reserve,null,-33.7833,151.1500,null,null,null,null,null,Unknown,null,null,null,null,null
-196,40040,https://arena.nafc.org.au/register/api/locations/-196,NSW,FERNDALE HELIBASE,null,-34.6525,150.2982,null,null,null,null,null,Unknown,null,null,null,null,null
-195,40039,https://arena.nafc.org.au/register/api/locations/-195,NSW,Fairlight Airstrip,null,-35.3900,148.7475,null,null,null,null,null,Unknown,null,null,null,null,null
-194,40038,https://arena.nafc.org.au/register/api/locations/-194,NSW,EVANS HEAD AIRFIELD,null,-29.0930,153.4188,null,null,null,null,null,Unknown,null,null,null,null,null
-185,39953,https://arena.nafc.org.au/register/api/locations/-185,NSW,Elim Heights Putty Road,null,-33.1997,150.7028,null,null,null,null,null,Unknown,null,null,null,null,null
-176,39944,https://arena.nafc.org.au/register/api/locations/-176,NSW,DUBBO AIRPORT,null,-32.2178,148.5773,null,null,null,null,null,Unknown,null,null,null,null,null
-165,39934,https://arena.nafc.org.au/register/api/locations/-165,NSW,DENILIQUIN AIRPORT,null,-35.5600,144.9467,null,null,null,null,null,Unknown,null,null,null,null,null
-157,39926,https://arena.nafc.org.au/register/api/locations/-157,NSW,Currandooly airfield,null,-35.1858,149.4842,null,null,null,null,null,Unknown,null,null,null,null,null
-146,39915,https://arena.nafc.org.au/register/api/locations/-146,NSW,COWRA AIRPORT,null,-33.8465,148.6458,null,null,null,null,Primary,Current,null,null,null,null,null
-144,39913,https://arena.nafc.org.au/register/api/locations/-144,NSW,cowparlor fire,null,-32.6155,150.7097,null,null,null,null,null,Unknown,null,null,null,null,null
-138,39907,https://arena.nafc.org.au/register/api/locations/-138,NSW,COONABARABRAN AIRPORT,null,-31.0833,149.1833,null,null,null,null,Secondary,Current,null,null,null,null,null
-136,39905,https://arena.nafc.org.au/register/api/locations/-136,NSW,COOMA Airport,null,-36.2967,148.9733,null,null,null,null,Support,Current,null,null,null,null,null
-130,39899,https://arena.nafc.org.au/register/api/locations/-130,NSW,CONDOBOLIN AIRPORT,null,-33.0625,147.2103,null,null,null,null,Secondary,Inactive,null,null,null,null,null
-129,39898,https://arena.nafc.org.au/register/api/locations/-129,NSW,COLO HEIGHTS NPWS DEPOT,null,-33.3413,150.6995,null,null,null,null,Secondary,Current,null,null,null,null,null
-124,39893,https://arena.nafc.org.au/register/api/locations/-124,NSW,COFFS HARBOUR AIRPORT,null,-30.3200,153.1167,null,null,null,null,Primary,Current,null,null,null,null,null
-121,39890,https://arena.nafc.org.au/register/api/locations/-121,NSW,COBAR AERODROME,null,-31.5383,145.7933,null,null,null,null,Helipad,Current,null,null,null,null,null
-115,39884,https://arena.nafc.org.au/register/api/locations/-115,NSW,CESSNOCK AIRPORT,null,-32.7833,151.3417,null,null,null,null,Secondary,Provisional,null,null,null,null,null
-111,39880,https://arena.nafc.org.au/register/api/locations/-111,NSW,Cataract Scout Park,null,-34.2382,150.8197,null,null,null,null,Helipad,Current,null,null,null,null,null
-96,39865,https://arena.nafc.org.au/register/api/locations/-96,NSW,CAMDEN AIRPORT,null,-34.0403,150.6867,null,null,null,null,Helipad,Current,null,null,null,null,null
-81,39850,https://arena.nafc.org.au/register/api/locations/-81,NSW,BULGA NPWS,null,-32.6550,151.0210,null,null,null,null,Helipad,Current,null,null,null,null,null
-78,39991,https://arena.nafc.org.au/register/api/locations/-78,NSW,BUCKETTY NPWS DEPOT,null,-33.1395,151.2005,null,null,null,null,Helipad,Unknown,null,null,null,null,null
-72,39842,https://arena.nafc.org.au/register/api/locations/-72,NSW,BREWARRINA SHOW GROUNDS,null,-29.9755,146.8677,null,null,null,null,Secondary,Unknown,null,null,null,null,null
-64,39834,https://arena.nafc.org.au/register/api/locations/-64,NSW,BOOTI BOOTI NPWS Depot,null,-32.4983,152.3070,null,null,null,null,Unclassified,Unknown,null,null,null,null,null
-55,39826,https://arena.nafc.org.au/register/api/locations/-55,NSW,Blowering Works Depot,null,-35.5068,148.2817,null,null,null,null,Helipad,Unknown,null,null,null,null,null
-54,39825,https://arena.nafc.org.au/register/api/locations/-54,NSW,BLOWERING NPWS DEPOT,null,-35.5067,148.2683,null,null,null,null,Helipad,Unknown,null,null,null,null,null
-50,39821,https://arena.nafc.org.au/register/api/locations/-50,NSW,BLACKHEATH NPWS,null,-33.6333,150.2752,null,null,null,null,Helipad,Unknown,null,null,null,null,null
-34,39805,https://arena.nafc.org.au/register/api/locations/-34,NSW,BATHURST AIRPORT,null,-33.4100,149.6517,null,null,null,null,Primary,Current,null,null,null,null,null
-24,39796,https://arena.nafc.org.au/register/api/locations/-24,NSW,BANKSTOWN AIRPORT,null,-33.9250,150.9883,null,null,null,null,Primary,Current,null,null,null,null,null
-13,39785,https://arena.nafc.org.au/register/api/locations/-13,NSW,ARMIDALE AIRPORT,null,-30.5320,151.6148,null,null,null,null,Primary,Current,null,null,null,null,null
-10,39782,https://arena.nafc.org.au/register/api/locations/-10,NSW,ALBURY AIRPORT,null,-36.0700,146.9533,null,null,null,null,Primary,Current,null,null,null,null,null
-9,39781,https://arena.nafc.org.au/register/api/locations/-9,NSW,Shellharbour Airport	 WOLLONGONG,null,-34.5567,150.7863,null,null,null,null,null,Unknown,null,null,null,null,null
-4,39778,https://arena.nafc.org.au/register/api/locations/-4,NSW,ACT RFS Helibase Hume - YXSB,null,-35.3777,149.1710,63 David Warren Rd	 Hume	 ACT	 2609,ACT Rural Fire Service,Simon May,+61434888942,Helipad,Current,2020-12-15,Dedicated Fire Heli Base and hangar facilities. Three Concrete Heli Pads	 lots of grass area for up to 14 aircraft. Toll medical ops in hanger to the south	 keep well clear of medical ops pads and south  grass areas. Prior to arrival all aircraft are to make contact with the ACT RFS Duty Officer (0407 775 713) for landing arrangements.  If unable to make contact	 aircraft are to land on the northern edge of the Heli Base Paddock along trees / fence line. FCTAF 129.15 ACT RFS Channel ESA 7,null,null,+61407775713
1,40274,https://arena.nafc.org.au/register/api/locations/1,SA,Brukunga Helibase,null,-35.0045,138.9383,Pyrites Road	 Brukunga	 SA 5252,SACFS,SACFS SARC,+61881153503,Helipad,Unknown,null,Aircraft to avoid over flying sensitive areas,null,null,null
2,39550,https://arena.nafc.org.au/register/api/locations/2,NSW,Maitland Fire Control Centre (NSWRFS),null,-32.7727,151.5733,null,null,null,null,null,Unknown,null,null,null,null,null
